L’expérimentation nationale de la reconnaissance faciale en attente des évolutions européennes https://t.co/Is6JOlI2RY via @nextinpact,faciale
☕️  L’expérimentation nationale de la reconnaissance faciale en attente des évolutions européennes https://t.co/wPjHYPACN8 https://t.co/B1SlQtJorA,faciale
"@teamfrozzie Bientôt (5-10 ans?) on sera rémunéré en fonction de nos actes (reconnaissance faciale). Si tu fais de bonnes actions +1, cas contraire les banquiers auront la possibilité de clôturer ton compte, tu seras privé de plein de choses. Bienvenue ds le monde digital....",faciale
"Un article sur les liens entre reconnaissance faciale et phrénologie. Mais, pour une fois, dans celui-là on mentionne le chaînon manquant entre ces deux pseudosciences : les travaux du statisticien eugéniste Karl Pearson. https://t.co/Vy4LED7E3M",faciale
"@PinocchioX5 Ça dépend s'il y a une faciale, non ?",faciale
"@Fadewade Le mec a gauche me termine, aucune expression faciale quand il entend ça 😭",faciale
L’expérimentation nationale de la reconnaissance faciale en attente des évolutions européennes https://t.co/NveraY5wty,faciale
"#adjuvant, #essaiclinique, femmes stériles, #vaccin tous les ans, paralysie faciale ? Les réponses :
https://t.co/1Jsb7Z94Zq
#ContreFakeNews #vaccinationcovid
@SPILF_ https://t.co/XnQXp9Ozgv",faciale
L’expérimentation nationale de la reconnaissance faciale en attente des évolutions européennes https://t.co/GXsE5UDiH7,faciale
☕️  L’expérimentation nationale de la reconnaissance faciale en attente des évolutions européennes https://t.co/wPjHYPACN8 https://t.co/B1SlQtJorA,faciale
☕️  L’expérimentation nationale de la reconnaissance faciale en attente des évolutions européennes https://t.co/wPjHYPACN8 https://t.co/B1SlQtJorA,faciale
Reminiz – la reconnaissance faciale au service de la TV augmentée #Startup #Innovation https://t.co/nYovvzPKxA,faciale
"A la une de la compta : Le législateur américain cherche toujours à interdire les logiciels de reconnaissance faciale https://t.co/2lApNtUBqp, see more https://t.co/vlpozcJDhA",faciale
"@tryingalways @DocArnica Reconnaissance de si tu as un masque ou pas, pas reconnaissance faciale à la chinoise (quoi que la techno existe déjà)

A titre très personnel je m'en fous les cinémas c'est comme les bars : très sympa mais je survivrai largement sans.",faciale
@vonbateman @DocArnica Introduisons la reconnaissance faciale parce qu'on en a marre de Netflix à la maison ?,faciale
"@DocArnica Perso je dirais FFP2 système d'aération mais le souci c'est que tu peux pas surveiller les gens et moi j'aurais pas envie d'aller dans une salle avec des enfants pas masqués...
Pour les adultes une caméra reconnaissance faciale qui voit si tu n'a pas ton masque ?",faciale
@Chauvel_N @teppa20 C'est la raison pour laquelle j'ai été aussi clair sur la précaution vaccinale et la limitation aux plateaux de mon striptease faciale...,faciale
"@bzavr héhé quand la nouvelle est tombée, j'ai dit à ma copine qu'il y aurait sans doute pas l'effet ""première guerre mondiale"" qui avait fait passer la mode de la pilosité faciale pendant 1/2 siècle à cause de l'effet sur l'efficacité des masques et sur l'hygiène des tranchées",faciale
"#adjuvant, #essaiclinique, femmes stériles, #vaccin tous les ans, paralysie faciale ? Les réponses :
https://t.co/1Jsb7Z94Zq
#ContreFakeNews #vaccinationcovid
@SPILF_ https://t.co/XnQXp9Ozgv",faciale
@Hugluuu Tu rigoles parce que t’as la pilosité faciale d’un enfant de 14 ans 💕,faciale
"#adjuvant, #essaiclinique, femmes stériles, #vaccin tous les ans, paralysie faciale ? Les réponses :
https://t.co/1Jsb7Z94Zq
#ContreFakeNews #vaccinationcovid
@SPILF_ https://t.co/XnQXp9Ozgv",faciale
PLUTOT CREVER DU CORONA OU D’UNE SYPHILIS FOUDROYANTE QUE DE DEVOIR ME MONTRER SANS PILOSITÉ FACIALE https://t.co/WgmKlgFBE0,faciale
"Les mêmes qui dénoncent la note sociale des chinois mettent en place le flicage généralisé, le fichage des opinions, réduisent la liberté d'expression et de circuler, expérimentent la reconnaissance faciale ...
Le barrage prioritaire en 2022, c'est contre Macron https://t.co/lknfCpblLx",faciale
Le législateur américain cherche toujours à interdire les logiciels de reconnaissance faciale https://t.co/TLP0tmh5p5,faciale
"[rediff] Quand la reconnaissance faciale en France avance masquée
https://t.co/fBJHuuQRV7 https://t.co/nEx2rRh2pN",faciale
"@EnModeMacaron Choquant d'injecter ce ""vaccin"" ARNm, aux effets toxiques connus (chocs anaphylactique, paralysie faciale, etc) à une population avec ""comorbidité"". Le principe de précaution demande à ne pas exposer ces patients agés à tout traitement risqué, sans garantie de résultat positif!",faciale
"@EnModeMacaron Choquant d'injecter ce ""vaccin"" ARNm, aux effets toxiques connus (chocs anaphylactique, paralysie faciale, etc) à une population avec ""comorbidité"". Le principe de précaution demande à ne pas exposer ces patients agés à tout traitement risqué, sans garantie de résultat positif!",faciale
Les citoyens européens s’attaquent à la reconnaissance faciale. https://t.co/xcCuSVXd1u,faciale
"Un article sur les liens entre reconnaissance faciale et phrénologie. Mais, pour une fois, dans celui-là on mentionne le chaînon manquant entre ces deux pseudosciences : les travaux du statisticien eugéniste Karl Pearson. https://t.co/Vy4LED7E3M",faciale
"@alain_kaufmann @LieuxDeSavoir Labyrinthique et efficace sans aucune cotation visible ! On pourrait rebaptiser un algo de recommandation &amp; reconnaissance faciale du livre ""Umberto l'Eco"" !",faciale
Aux racines eugénistes et coloniales de la reconnaissance faciale. https://t.co/l8EEMWigX8,faciale
Le législateur américain cherche toujours à interdire les logiciels de reconnaissance faciale https://t.co/f80GdCDLqw,faciale
"Un dossier très intéressant de l'#INRS sur les équipements de protection faciale, masques ou visières https://t.co/YYMm2mogch",faciale
"La @DARPA développe une base de données d’images pour former l’IA à la reconnaissance faciale à l’aide d’images thermiques.

@echiva @Massis_ @Marsattaqueblog
@GICAT_FR @Agence_ID 
#IA #FacialRecognition #Defense https://t.co/mhGXBbE5q4",faciale
"@Dalloz @PJanuel Une bataille remportée, la guerre continue

Que soit interdite la reconnaissance faciale #IA sur toutes les captations !
notamment télé-transmises (caméra piétons, drones, embarquées, vidéosurveillance) &amp; qui permettraient d’identifier chacun tt le temps #TAJ #TES
#EtatPolicier",faciale
Le législateur américain cherche toujours à interdire les logiciels de reconnaissance faciale https://t.co/dnWzTpPKLz,faciale
"@Annette_LEXA @txipironcito @flowpom Elle n'exagère, c'est ce qui se passe.
Des décès ce n'est pas la faute au vaccin, des symptômes de la vache, des paralysies et paralysie faciale, pour les autres vaccins, des encéphalite, des maladies auto-immunes, des épilepsies, des narcolepsies, décès et j'en passe...",faciale
"4h après, puis 24h après, on note bien en effet une légère paralysie faciale... https://t.co/RJBagGTkFh",faciale
À quoi me sert d'avoir un passeport de vaccination pour aller au resto si je dois mâcher avec une paralysie faciale.,faciale
"Le législateur américain cherche toujours à interdire les logiciels de reconnaissance faciale

https://t.co/RzEJ5Ln0kj",faciale
"L'éthique de l'IA, on en vend partout. Mais quelles valeurs sont portées par gouvernements et producteurs de technologies ? On en parle au wébinaire #ecnEHESS le 28 janv. à 19h avec @annajobin (ft @PaoloCirio). Inscriptions👉 https://t.co/376WcVeSNX en partenariat a/@gaitelyrique",faciale
Ajd j’ai ft zero effort faciale et vestimentaire c bon jsuis soûlée,faciale
