les arabes quand ils vont rentrer dans le pays https://t.co/FicnHBJFXq https://t.co/sEZ4Kyjc31,['arabes']
"#Israel est tellement un état raciste qu'au même titre que toi musulmane, 15 députés arabes dont des femmes siègent au Parlement israélien. 
Le seul pays au monde où des députés crachent sur le pays qu' ils représentent et qui quittent l'Assemblée pendant l'hymne israélien! https://t.co/sZ5u2F4b7o https://t.co/BZCHJeqS9M",['arabes']
"#Israel est tellement un état raciste qu'au même titre que toi musulmane, 15 députés arabes dont des femmes siègent au Parlement israélien. 
Le seul pays au monde où des députés crachent sur le pays qu' ils représentent et qui quittent l'Assemblée pendant l'hymne israélien! https://t.co/sZ5u2F4b7o https://t.co/BZCHJeqS9M",['arabes']
"@v_galantino @SimonZGRR @BlueNextWaves @MLKI92 @d_pepins @DamienRieu Pour rappeler que la majorité des pseudos patriotes du net ce sont eux les assistés 😉
T’as raté ta vie et même sans les arabes la finalité aurait été la même,il est temps d’être adulte.",['arabes']
"#Israel est tellement un état raciste qu'au même titre que toi musulmane, 15 députés arabes dont des femmes siègent au Parlement israélien. 
Le seul pays au monde où des députés crachent sur le pays qu' ils représentent et qui quittent l'Assemblée pendant l'hymne israélien! https://t.co/sZ5u2F4b7o https://t.co/BZCHJeqS9M",['arabes']
"Personne:
Les blancs : LA RACAILLE TUE!!!!!!! STOP RACISME ANTI BLANC!!!!!!!!! BANDE DE SALES NOIRS ET SALES ARABES DE MERDE !!!!!!!!!!!!!!!!! TUEURS DE BLANCS!!!!!!!!!!! RETOURNEZ CHEZ VOUS!!!!!!!!!!",['arabes']
Les arabes et les noirs toujours en retard zebi,['arabes']
"@Saiko_Shii @evantascapte @lubinleprince @talisimo_z @Mediavenir Les seuls qui ont colonisé sont les arabes après le depart de l’empire romain de judée, israel existait bien avant la palestine",['arabes']
"L'origine du nom NGAZIDJA selon une tradition de Bandamadji la Domba !
Une tradition rapportée par Mze Umuri wa Mwandze dit que les premiers Arabes arrivés à l'île de Ngazidja avaient amené avec eux des esclaves originaires de la Côte Est africaine et des djinns appelés Maafriti.",['arabes']
Un haut responsable des Émirats arabes unis a salué vendredi la «sagesse du Shabbat» et a déclaré qu'elle reconnaissait de nombreuses similitudes entre le judaïsme et l'islam. https://t.co/VI1suUgDe6,['arabes']
"@v_galantino @SimonZGRR @BlueNextWaves @MLKI92 @d_pepins @DamienRieu J’aime la France en charcutant la langue de mes aïeux 🤷🏽‍♂️😂
Sinon toi qui appel à la révolte contre les arabes,je te propose de rentrer dans une salle de sport de combat,tu verras qu’ils sont en nombre et friand du 1vs1 😂",['arabes']
"#Israel est tellement un état raciste qu'au même titre que toi musulmane, 15 députés arabes dont des femmes siègent au Parlement israélien. 
Le seul pays au monde où des députés crachent sur le pays qu' ils représentent et qui quittent l'Assemblée pendant l'hymne israélien! https://t.co/sZ5u2F4b7o https://t.co/BZCHJeqS9M",['arabes']
Tous les arabes de france sont abonnés à post bad bledar j'ai l'impression 🤣,['arabes']
"@Zali_Falcam Je dirais depuis 2013. Parce qu'après les premières années de croissance (2007-2010) et les premiers exemples d'utilité (printemps arabes notamment), ben fallait trouver des indicateurs de croissance à montrer aux investisseurs.

Y'en avait pas. Alors ils en ont créé des éclatés.",['arabes']
De meme pour les arabes wallahi vous nous foutez la honte https://t.co/qTiLxySng4,['arabes']
"Puceau passé 30 ans ? 

Laisse tomber, t'es irrécupérable. 
Si personne t'a baisé depuis, c'est bien que t'es absolument pas baisable – jusqu'ici on est d'accord?

Bon. 
Épouse ta main, ça te sauvera de bien d'opprobres. 

× virginslave sexualrejection virginhumiliation × https://t.co/cPhB5umQ2m",['baisable']
"Puceau passé 30 ans ? 

Laisse tomber, t'es irrécupérable. 
Si personne t'a baisé depuis, c'est bien que t'es absolument pas baisable – jusqu'ici on est d'accord?

Bon. 
Épouse ta main, ça te sauvera de bien d'opprobres. 

× virginslave sexualrejection virginhumiliation × https://t.co/cPhB5umQ2m",['baisable']
